ID	Artist	Song	Link
69	Sage Francis	Thank You	http://rap.genius.com/sage-francis-thank-you-lyrics
70	Sage Francis	The Set Up	http://rap.genius.com/sage-francis-the-set-up-lyrics
71	Sage Francis	The Place She Feared Most	http://rap.genius.com/Sage-francis-the-place-she-feared-most-lyrics
72	Sage Francis	Once Upon a Blood Moon	http://rap.genius.com/Sage-francis-once-upon-a-blood-moon-lyrics
73	Sage Francis	Say Uncle	http://rap.genius.com/Sage-francis-say-uncle-lyrics
74	Sage Francis	Maint REQD	http://rap.genius.com/Sage-francis-maint-reqd-lyrics
75	Rick Ross	Intro	not_searchable
76	Rick Ross	Push It	http://rap.genius.com/Rick-ross-push-it-lyrics
77	Rick Ross	Blow	http://rap.genius.com/rick-ross-blow-lyrics
78	Rick Ross	Hustlin'	http://rap.genius.com/Rick-ross-hustlin-lyrics
79	Rick Ross	Cross That Line	http://rap.genius.com/Rick-ross-cross-that-line-lyrics
80	Rick Ross	I'm Bad	http://rap.genius.com/rick-ross-im-bad-lyrics
81	Rick Ross	Boss	http://rap.genius.com/rick-ross-boss-lyrics
82	Rick Ross	For Da Low	http://rap.genius.com/Rick-ross-for-da-low-lyrics
83	Rick Ross	Where My Money (I Need That)	http://rap.genius.com/Rick-ross-where-my-money-i-need-that-lyrics
84	Rick Ross	Get Away	http://rap.genius.com/rick-ross-get-away-lyrics
85	Rick Ross	Hit U From the Back	http://rap.genius.com/Rick-ross-hit-u-from-the-back-lyrics
86	Rick Ross	White House	http://rap.genius.com/rick-ross-white-house-lyrics
87	Rick Ross	Pots & Pans	http://rap.genius.com/rick-ross-pots-&-pans-lyrics
88	Rick Ross	It's My Time	http://rap.genius.com/Rick-ross-its-my-time-lyrics
89	Rick Ross	Street Life	http://rap.genius.com/rick-ross-street-life-lyrics
90	Rick Ross	Hustlin'	http://rap.genius.com/Rick-ross-hustlin-lyrics
91	Rick Ross	It Ain't a Problem	http://rap.genius.com/rick-ross-it-aint-a-problem-lyrics
92	Rick Ross	I'm a G	http://rap.genius.com/Rick-ross-im-a-g-lyrics
93	Rick Ross	Prayer	http://rap.genius.com/rick-ross-prayer-lyrics
94	Rick Ross	Trilla Intro	http://rap.genius.com/Rick-ross-trilla-intro-lyrics
95	Rick Ross	All I Have in This World	http://rap.genius.com/Rick-ross-all-i-have-in-this-world-lyrics
96	Rick Ross	The Boss	http://rap.genius.com/rick-ross-the-boss-lyrics
97	Rick Ross	Speedin'	http://rap.genius.com/rick-ross-speedin-lyrics
98	Rick Ross	We Shinin'	http://rap.genius.com/rick-ross-we-shinin-lyrics
99	Rick Ross	Money Make Me Come	http://rap.genius.com/Rick-ross-money-make-me-come-lyrics
100	Rick Ross	DJ Khaled (Interlude)	http://rap.genius.com/Rick-ross-dj-khaled-interlude-lyrics
101	Rick Ross	This Is the Life	http://rap.genius.com/Rick-ross-this-is-the-life-lyrics
102	Rick Ross	This Me	http://rap.genius.com/Rick-ross-this-me-lyrics
103	Rick Ross	Here I Am	http://rap.genius.com/rick-ross-here-i-am-lyrics
104	Rick Ross	Maybach Music	http://rap.genius.com/Rick-ross-maybach-music-lyrics
105	Rick Ross	Billionaire	http://rap.genius.com/rick-ross-billionaire-lyrics
106	Rick Ross	Luxury Tax	http://rap.genius.com/Rick-ross-luxury-tax-lyrics
107	Rick Ross	Reppin My City	http://rap.genius.com/Rick-ross-reppin-my-city-lyrics
108	Rick Ross	I'm Only Human	http://rap.genius.com/Rick-ross-im-only-human-lyrics
109	Rick Ross	Mafia Music	http://rap.genius.com/Rick-ross-mafia-music-lyrics
110	Rick Ross	Maybach Music 2	http://rap.genius.com/rick-ross-maybach-music-2-lyrics
111	Rick Ross	Magnificent	http://rap.genius.com/Rick-ross-magnificent-lyrics
112	Rick Ross	Yacht Club	http://rap.genius.com/rick-ross-yacht-club-lyrics
113	Rick Ross	Usual Suspects	http://rap.genius.com/Rick-ross-usual-suspects-lyrics
114	Rick Ross	All I Really Want	http://rap.genius.com/Rick-ross-all-i-really-want-lyrics
115	Rick Ross	Rich Off Cocaine	http://rap.genius.com/Rick-ross-rich-off-cocaine-lyrics
116	Rick Ross	Lay Back	http://rap.genius.com/rick-ross-lay-back-lyrics
117	Rick Ross	Murda Mami	http://rap.genius.com/Rick-ross-murda-mami-lyrics
118	Rick Ross	Gunplay	http://rap.genius.com/rick-ross-gunplay-lyrics
119	Rick Ross	Bossy Lady	http://rap.genius.com/Rick-ross-bossy-lady-lyrics
120	Rick Ross	Face	http://rap.genius.com/rick-ross-face-lyrics
121	Rick Ross	Valley of Death	http://rap.genius.com/Rick-ross-valley-of-death-lyrics
122	Rick Ross	In Cold Blood	http://rap.genius.com/Rick-ross-in-cold-blood-lyrics
123	Rick Ross	I'm Not a Star	http://rap.genius.com/Rick-ross-im-not-a-star-lyrics
124	Rick Ross	Free Mason	http://rap.genius.com/Rick-ross-free-mason-lyrics
125	Rick Ross	Tears of Joy	http://rap.genius.com/Rick-ross-tears-of-joy-lyrics
126	Rick Ross	Maybach Music III	http://rap.genius.com/Rick-ross-maybach-music-iii-lyrics
127	Rick Ross	Live Fast, Die Young	http://rap.genius.com/Rick-ross-live-fast-die-young-lyrics
128	Rick Ross	Super High	http://rap.genius.com/rick-ross-super-high-lyrics
129	Rick Ross	No. 1	http://rap.genius.com/rick-ross-no-1-lyrics
130	Rick Ross	MC Hammer	http://rap.genius.com/Rick-ross-mc-hammer-lyrics
131	Rick Ross	B.M.F. (Blowin' Money Fast)	http://rap.genius.com/Rick-ross-bmf-blowin-money-fast-lyrics
132	Rick Ross	Aston Martin Music	http://rap.genius.com/Rick-ross-aston-martin-music-lyrics
133	Rick Ross	All the Money in the World	http://rap.genius.com/Rick-ross-all-the-money-in-the-world-lyrics
134	Rick Ross	Pray For Us	http://rap.genius.com/Rick-ross-pray-for-us-lyrics
135	Rick Ross	Pirates	http://rap.genius.com/rick-ross-pirates-lyrics
136	Rick Ross	3 Kings	http://rap.genius.com/Rick-ross-3-kings-lyrics
137	Rick Ross	Ashamed	http://rap.genius.com/Rick-ross-ashamed-lyrics
138	Rick Ross	Maybach Music IV	http://rap.genius.com/Rick-ross-maybach-music-iv-lyrics
139	Rick Ross	Sixteen	http://rap.genius.com/Rick-ross-sixteen-lyrics
140	Rick Ross	Amsterdam	http://rap.genius.com/Rick-ross-amsterdam-lyrics
141	Rick Ross	Hold Me Back	http://rap.genius.com/Rick-ross-hold-me-back-lyrics
142	Rick Ross	911	http://rap.genius.com/Rick-ross-911-lyrics
143	Rick Ross	So Sophisticated	http://rap.genius.com/Rick-ross-so-sophisticated-lyrics
144	Rick Ross	Presidential	http://rap.genius.com/Rick-ross-presidential-lyrics
145	Rick Ross	Ice Cold	http://rap.genius.com/Rick-ross-ice-cold-lyrics
146	Rick Ross	Touch 'N You	http://rap.genius.com/rick-ross-touch-n-you-lyrics
147	Rick Ross	Diced Pineapples	http://rap.genius.com/Rick-ross-diced-pineapples-lyrics
148	Rick Ross	Ten Jesus Pieces	http://rap.genius.com/Rick-ross-ten-jesus-pieces-lyrics
149	Rick Ross	Intro	not_searchable
150	Rick Ross	Rich Is Gangsta	http://rap.genius.com/Rick-ross-rich-is-gangsta-lyrics
151	Rick Ross	Drug Dealers Dream	http://rap.genius.com/Rick-ross-drug-dealers-dream-lyrics
152	Rick Ross	Shots Fired	http://rap.genius.com/rick-ross-shots-fired-lyrics
153	Rick Ross	Nobody	http://rap.genius.com/rick-ross-nobody-lyrics
154	Rick Ross	The Devil Is a Lie	http://rap.genius.com/Rick-ross-the-devil-is-a-lie-lyrics
155	Rick Ross	Mafia Music III	http://rap.genius.com/Rick-ross-mafia-music-iii-lyrics
156	Rick Ross	War Ready	http://rap.genius.com/Rick-ross-war-ready-lyrics
157	Rick Ross	What a Shame	http://rap.genius.com/Rick-ross-what-a-shame-lyrics
158	Rick Ross	Supreme	http://rap.genius.com/Rick-ross-supreme-lyrics
159	Rick Ross	Blk & Wht	http://rap.genius.com/rick-ross-blk-&-wht-lyrics
160	Rick Ross	Dope B**** Skit	http://rap.genius.com/rick-ross-dope-bitch-skit-lyrics
161	Rick Ross	In Vein	http://rap.genius.com/Rick-ross-in-vein-lyrics
162	Rick Ross	Sanctified	http://rap.genius.com/Rick-ross-sanctified-lyrics
163	Rick Ross	Walkin' on Air	http://rap.genius.com/Rick-ross-walkin-on-air-lyrics
164	Rick Ross	Thug Cry	http://rap.genius.com/Rick-ross-thug-cry-lyrics
165	Boogie Down Productions	Poetry	http://rap.genius.com/boogie-down-productions-poetry-lyrics
166	Boogie Down Productions	South Bronx	http://rap.genius.com/Boogie-down-productions-south-bronx-lyrics
167	Boogie Down Productions	9mm Goes Bang	http://rap.genius.com/Boogie-down-productions-9mm-goes-bang-lyrics
168	Boogie Down Productions	Word from Our Sponsor	http://rap.genius.com/Boogie-down-productions-word-from-our-sponsor-lyrics
169	Boogie Down Productions	Elementary	http://rap.genius.com/boogie-down-productions-elementary-lyrics
170	Boogie Down Productions	Dope Beat	http://rap.genius.com/Boogie-down-productions-dope-beat-lyrics
171	Boogie Down Productions	Remix for P Is Free	http://rap.genius.com/Boogie-down-productions-remix-for-p-is-free-lyrics
172	Boogie Down Productions	The Bridge Is Over	http://rap.genius.com/Boogie-down-productions-the-bridge-is-over-lyrics
173	Boogie Down Productions	Super-Hoe	http://rap.genius.com/Boogie-down-productions-super-hoe-lyrics
174	Boogie Down Productions	Criminal Minded	http://rap.genius.com/Boogie-down-productions-criminal-minded-lyrics
175	Boogie Down Productions	My Philosophy	http://rap.genius.com/Boogie-down-productions-my-philosophy-lyrics
176	Boogie Down Productions	Ya Slippin'	http://rap.genius.com/Boogie-down-productions-ya-slippin-lyrics
177	Boogie Down Productions	Stop the Violence	http://rap.genius.com/boogie-down-productions-stop-the-violence-lyrics
178	Boogie Down Productions	Illegal Business	http://rap.genius.com/Boogie-down-productions-illegal-business-lyrics
179	Boogie Down Productions	Nervous	http://rap.genius.com/boogie-down-productions-nervous-lyrics
180	Boogie Down Productions	I'm Still No. 1	http://rap.genius.com/boogie-down-productions-im-still-no-1-lyrics
181	Boogie Down Productions	Part Time Suckers	http://rap.genius.com/boogie-down-productions-part-time-suckers-lyrics
182	Boogie Down Productions	Jimmy	http://rap.genius.com/boogie-down-productions-jimmy-lyrics
183	Boogie Down Productions	T'Cha-T'Cha	http://rap.genius.com/Boogie-down-productions-tcha-tcha-lyrics
184	Boogie Down Productions	Necessary	http://rap.genius.com/boogie-down-productions-necessary-lyrics
185	Boogie Down Productions	The Style You Haven't Done Yet	http://rap.genius.com/Boogie-down-productions-the-style-you-havent-done-yet-lyrics
186	Boogie Down Productions	Why Is That?	http://rap.genius.com/Boogie-down-productions-why-is-that-lyrics
187	Boogie Down Productions	The Blueprint	http://rap.genius.com/boogie-down-productions-the-blueprint-lyrics
188	Boogie Down Productions	Jack of Spades	http://rap.genius.com/boogie-down-productions-jack-of-spades-lyrics
189	Boogie Down Productions	Jah Rulez	http://rap.genius.com/Boogie-down-productions-jah-rulez-lyrics
190	Boogie Down Productions	Breath Control	http://rap.genius.com/Boogie-down-productions-breath-control-lyrics
191	Boogie Down Productions	Who Protects Us from You?	http://rap.genius.com/Boogie-down-productions-who-protects-us-from-you-lyrics
192	Boogie Down Productions	You Must Learn	http://rap.genius.com/Boogie-down-productions-you-must-learn-lyrics
193	Boogie Down Productions	Hip Hop Rules	http://rap.genius.com/boogie-down-productions-hip-hop-rules-lyrics
194	Boogie Down Productions	Bo! Bo! Bo!	http://rap.genius.com/boogie-down-productions-bo!-bo!-bo!-lyrics
195	Boogie Down Productions	Gimme, Dat, (Woy)	http://rap.genius.com/Boogie-down-productions-gimme-dat-woy-lyrics
196	Boogie Down Productions	Ghetto Music	http://rap.genius.com/boogie-down-productions-ghetto-music-lyrics
197	Boogie Down Productions	World Peace	http://rap.genius.com/boogie-down-productions-world-peace-lyrics
198	Boogie Down Productions	Exhibit A	http://rap.genius.com/boogie-down-productions-exhibit-a-lyrics
199	Boogie Down Productions	Blackman in Effect	http://rap.genius.com/Boogie-down-productions-blackman-in-effect-lyrics
200	Boogie Down Productions	Ya Know the Rules	http://rap.genius.com/Boogie-down-productions-ya-know-the-rules-lyrics
201	Boogie Down Productions	Exhibit B	http://rap.genius.com/boogie-down-productions-exhibit-b-lyrics
202	Boogie Down Productions	Beef	http://rap.genius.com/boogie-down-productions-beef-lyrics
203	Boogie Down Productions	House Nigga's	http://rap.genius.com/Boogie-down-productions-house-niggas-lyrics
204	Boogie Down Productions	Exhibit C.	http://rap.genius.com/boogie-down-productions-exhibit-c-lyrics
205	Boogie Down Productions	Love's Gonna Get'cha	http://rap.genius.com/Boogie-down-productions-loves-gonna-getcha-lyrics
206	Boogie Down Productions	100 Guns	http://rap.genius.com/Boogie-down-productions-100-guns-lyrics
207	Boogie Down Productions	Ya Strugglin'	http://rap.genius.com/Boogie-down-productions-ya-strugglin-lyrics
208	Boogie Down Productions	Breath Control II	http://rap.genius.com/Boogie-down-productions-breath-control-ii-lyrics
209	Boogie Down Productions	Exhibit D	http://rap.genius.com/Boogie-down-productions-exhibit-d-lyrics
210	Boogie Down Productions	Edutainment	http://rap.genius.com/Boogie-down-productions-edutainment-lyrics
211	Boogie Down Productions	The Homeless	http://rap.genius.com/boogie-down-productions-the-homeless-lyrics
212	Boogie Down Productions	Exhibit E	http://rap.genius.com/Boogie-down-productions-exhibit-e-lyrics
213	Boogie Down Productions	The Kenny Parker Show	http://rap.genius.com/Boogie-down-productions-the-kenny-parker-show-lyrics
214	Boogie Down Productions	Original Lyrics	http://rap.genius.com/Boogie-down-productions-original-lyrics-lyrics
215	Boogie Down Productions	The Racist	http://rap.genius.com/Boogie-down-productions-the-racist-lyrics
216	Boogie Down Productions	Dee Jays	http://rap.genius.com/boogie-down-productions-dee-jays-lyrics
217	Boogie Down Productions	Cops or More	http://rap.genius.com/boogie-down-productions-cops-or-more-lyrics
218	Boogie Down Productions	Exhibit F	http://rap.genius.com/boogie-down-productions-exhibit-f-lyrics
219	Boogie Down Productions	KRS-One Intro	http://rap.genius.com/boogie-down-productions-krs-one-intro-lyrics
220	Boogie Down Productions	Lick a Shot	http://rap.genius.com/boogie-down-productions-lick-a-shot-lyrics
221	Boogie Down Productions	The Eye Opener	http://rap.genius.com/boogie-down-productions-the-eye-opener-lyrics
222	Boogie Down Productions	Jack of Spades	http://rap.genius.com/boogie-down-productions-jack-of-spades-lyrics
223	Boogie Down Productions	My Philosophy	http://rap.genius.com/Boogie-down-productions-my-philosophy-lyrics
224	Boogie Down Productions	I'm Still #1	http://rap.genius.com/boogie-down-productions-im-still-#1-lyrics
225	Boogie Down Productions	Poetry	http://rap.genius.com/boogie-down-productions-poetry-lyrics
226	Boogie Down Productions	House Nigga's	http://rap.genius.com/Boogie-down-productions-house-niggas-lyrics
227	Boogie Down Productions	Criminal Minded	http://rap.genius.com/Boogie-down-productions-criminal-minded-lyrics
228	Boogie Down Productions	Jimmy	http://rap.genius.com/boogie-down-productions-jimmy-lyrics
229	Boogie Down Productions	The Bridge Is Over	http://rap.genius.com/Boogie-down-productions-the-bridge-is-over-lyrics
230	Boogie Down Productions	Ya Know the Rules	http://rap.genius.com/Boogie-down-productions-ya-know-the-rules-lyrics
231	Boogie Down Productions	Kenny Parker (Intro)	http://rap.genius.com/boogie-down-productions-kenny-parker-intro-lyrics
232	Boogie Down Productions	South Bronx	http://rap.genius.com/Boogie-down-productions-south-bronx-lyrics
233	Boogie Down Productions	Reggae Medley	http://rap.genius.com/boogie-down-productions-reggae-medley-lyrics
234	Boogie Down Productions	Super Hoe	http://rap.genius.com/Boogie-down-productions-super-hoe-lyrics
235	Boogie Down Productions	Up to Date	http://rap.genius.com/boogie-down-productions-up-to-date-lyrics
236	Boogie Down Productions	Why Is That?	http://rap.genius.com/Boogie-down-productions-why-is-that-lyrics
237	Boogie Down Productions	Stop the Violence	http://rap.genius.com/boogie-down-productions-stop-the-violence-lyrics
238	Boogie Down Productions	Bo Bo Bo	http://rap.genius.com/boogie-down-productions-bo-bo-bo-lyrics
239	Boogie Down Productions	Come to the Teacher	http://rap.genius.com/boogie-down-productions-come-to-the-teacher-lyrics
240	Boogie Down Productions	Breath Control	http://rap.genius.com/Boogie-down-productions-breath-control-lyrics
241	Boogie Down Productions	Self Destruction	http://rap.genius.com/boogie-down-productions-self-destruction-lyrics
242	Boogie Down Productions	The Original Way	http://rap.genius.com/boogie-down-productions-the-original-way-lyrics
243	Boogie Down Productions	Duck Down	http://rap.genius.com/boogie-down-productions-duck-down-lyrics
244	Boogie Down Productions	Drug Dealer	http://rap.genius.com/boogie-down-productions-drug-dealer-lyrics
245	Boogie Down Productions	Like a Throttle	http://rap.genius.com/Boogie-down-productions-like-a-throttle-lyrics
246	Boogie Down Productions	Build and Destroy	http://rap.genius.com/Boogie-down-productions-build-and-destroy-lyrics
247	Boogie Down Productions	Ruff Ruff	http://rap.genius.com/Boogie-down-productions-ruff-ruff-lyrics
248	Boogie Down Productions	13 and Good	http://rap.genius.com/Boogie-down-productions-13-and-good-lyrics
249	Boogie Down Productions	Poisonous Products	http://rap.genius.com/boogie-down-productions-poisonous-products-lyrics
250	Boogie Down Productions	Questions and Answers	http://rap.genius.com/Boogie-down-productions-questions-and-answers-lyrics
251	Boogie Down Productions	Say Gal	http://rap.genius.com/Boogie-down-productions-say-gal-lyrics
252	Boogie Down Productions	We in There	http://rap.genius.com/Boogie-down-productions-we-in-there-lyrics
253	Boogie Down Productions	Sex and Violence	http://rap.genius.com/Boogie-down-productions-sex-and-violence-lyrics
254	Boogie Down Productions	How Not to Get Jerked	http://rap.genius.com/Boogie-down-productions-how-not-to-get-jerked-lyrics
255	Boogie Down Productions	Who Are the Pimps?	http://rap.genius.com/Boogie-down-productions-who-are-the-pimps-lyrics
256	Boogie Down Productions	The Real Holy Place	http://rap.genius.com/Boogie-down-productions-the-real-holy-place-lyrics
257	Method Man	Tical	http://rap.genius.com/Method-man-tical-lyrics
258	Method Man	Biscuits	http://rap.genius.com/method-man-biscuits-lyrics
259	Method Man	Bring the Pain	http://rap.genius.com/Method-man-bring-the-pain-lyrics
260	Method Man	All I Need	http://rap.genius.com/method-man-all-i-need-lyrics
261	Method Man	What the Blood Clot	http://rap.genius.com/Method-man-what-the-blood-clot-lyrics
262	Method Man	Meth vs. Chef	http://rap.genius.com/Method-man-meth-vs-chef-lyrics
263	Method Man	Sub Crazy	http://rap.genius.com/Method-man-sub-crazy-lyrics
264	Method Man	Release Yo' Delf	http://rap.genius.com/Method-man-release-yo-delf-lyrics
265	Method Man	P.L.O. Style	http://rap.genius.com/method-man-plo-style-lyrics
266	Method Man	I Get My Thang in Action	http://rap.genius.com/Method-man-i-get-my-thang-in-action-lyrics
267	Method Man	Mr. Sandman	http://rap.genius.com/Method-man-mr-sandman-lyrics
268	Method Man	Stimulation	http://rap.genius.com/method-man-stimulation-lyrics
269	Method Man	Method Man	http://rap.genius.com/method-man-method-man-lyrics
270	Method Man	Judgement Day (Intro)	http://rap.genius.com/method-man-judgement-day-intro-lyrics
271	Method Man	Perfect World	http://rap.genius.com/method-man-perfect-world-lyrics
272	Method Man	Cradle Rock	http://rap.genius.com/Method-man-cradle-rock-lyrics
273	Method Man	Dangerous Grounds	http://rap.genius.com/Method-man-dangerous-grounds-lyrics
274	Method Man	Sweet Love (Skit)	http://rap.genius.com/method-man-sweet-love-skit-lyrics
275	Method Man	Sweet Love	http://rap.genius.com/method-man-sweet-love-lyrics
276	Method Man	Shaolin What (Skit)	http://rap.genius.com/method-man-shaolin-what-skit-lyrics
277	Method Man	Torture	http://rap.genius.com/method-man-torture-lyrics
278	Method Man	Where's Method Man? (Skit)	http://rap.genius.com/method-man-wheres-method-man-skit-lyrics
279	Method Man	Suspect Chin Music	http://rap.genius.com/Method-man-suspect-chin-music-lyrics
280	Method Man	Retro Godfather	http://rap.genius.com/Method-man-retro-godfather-lyrics
281	Method Man	Dooney Boy (Skit)	http://rap.genius.com/method-man-dooney-boy-skit-lyrics
282	Method Man	Spazzola	http://rap.genius.com/Method-man-spazzola-lyrics
283	Method Man	Check Writer (Skit)	http://rap.genius.com/method-man-check-writer-skit-lyrics
284	Method Man	You Play Too Much (Skit)	http://rap.genius.com/method-man-you-play-too-much-skit-lyrics
285	Method Man	Party Crasher	http://rap.genius.com/Method-man-party-crasher-lyrics
286	Method Man	Grid Iron Rap	http://rap.genius.com/Method-man-grid-iron-rap-lyrics
287	Method Man	Step by Step	http://rap.genius.com/method-man-step-by-step-lyrics
288	Method Man	Play IV Keeps	http://rap.genius.com/Method-man-play-iv-keeps-lyrics
289	Method Man	Donald Trump (Skit)	http://rap.genius.com/method-man-donald-trump-skit-lyrics
290	Method Man	Snuffed Out (Skit)	http://rap.genius.com/method-man-snuffed-out-skit-lyrics
291	Method Man	Elements	http://rap.genius.com/method-man-elements-lyrics
292	Method Man	Killin' Fields	http://rap.genius.com/Method-man-killin-fields-lyrics
293	Method Man	Big Dogs	http://rap.genius.com/Method-man-big-dogs-lyrics
294	Method Man	Break Ups 2 Make Ups	http://rap.genius.com/Method-man-break-ups-2-make-ups-lyrics
295	Method Man	Message From Penny (Skit)	http://rap.genius.com/method-man-message-from-penny-skit-lyrics
296	Method Man	Judgement Day	http://rap.genius.com/method-man-judgement-day-lyrics
297	Method Man	C.E.O.Utro	no_search_results
